RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
"1","지킬앤하이드","뮤지컬","20241129","20250518","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"2","알라딘","뮤지컬","20241117","20250622","서울특별시","샤롯데씨어터","서울특별시 송파구 올림픽로 240 (잠실동)","37.5105162","127.1005630"
"3","SHINee WORLD Ⅶ: E.S.S.A.Y (Every Stage Shines Around You)","대중음악","20250523","20250525","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"4","타일러, 더 크리에이터 내한공연 [고양]","대중음악","20250913","20250914","경기도","킨텍스","경기도 고양시 일산서구 킨텍스로 217-60 (대화동)","37.6693071","126.7456845"
"5","ZEROBASEONE FAN-CON: BLUE MANSION","대중음악","20250418","20250420","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"6","현역가왕2 전국투어 콘서트 [서울]","대중음악","20250418","20250420","서울특별시","잠실종합운동장","서울특별시 송파구 올림픽로 25 (잠실동)","37.5161925","127.0759221"
"7","INFINITE 15TH ANNIVERSARY CONCERT: LIMITED EDITION [인천 (앵콜) ]","대중음악","20250412","20250413","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"8","TAEMIN WORLD TOUR: Ephemeral Gaze Finale","대중음악","20250426","20250427","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"9","명성황후","뮤지컬","20250121","20250330","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"10","Xdinary Heroes Beautiful Mind World Tour in SEOUL","대중음악","20250502","20250505","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"11","미스터트롯3 전국투어 콘서트","대중음악","20250329","20250330","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"12","뷰티풀 민트 라이프","대중음악","20250613","20250615","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"13","G-DRAGON 월드투어: 위버맨쉬","대중음악","20250329","20250330","경기도","고양종합운동장","경기도 고양시 일산서구 중앙로 1601 (대화동)","37.6763871","126.7420729"
"14","현역가왕2 전국투어 콘서트 [대구]","대중음악","20250510","20250510","대구광역시","엑스코 컨벤션홀","대구 북구 엑스코로 10","35.9068440","128.6133130"
"15","아이묭 투어: 돌핀 아파트먼트 [서울]","대중음악","20250419","20250420","경기도","킨텍스","경기도 고양시 일산서구 킨텍스로 217-60 (대화동)","37.6693071","126.7456845"
"16","LE SSERAFIM TOUR: EASY CRAZY HOT [인천]","대중음악","20250419","20250420","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"17","제17회 서울재즈페스티벌","대중음악","20250530","20250601","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"18","KAI SOLO CONCERT TOUR: KAION [서울]","대중음악","20250517","20250518","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
